Name,ManaCost,Colors,ColorIdentity,Type,Category,CardType,IsLand,OracleText
"Edgar, Charmed Groom // Edgar Markov's Coffin",4.0,B;W,B;W,Legendary Creature — Vampire Noble // Legendary Artifact,"Artifact, Creature, Token Generation",Creature,false,"Other Vampires you control get +1/+1. When Edgar dies, return it to the battlefield transformed under its owner's control. // At the beginning of your upkeep, create a 1/1 white and black Vampire creature token with lifelink and put a bloodline counter on Edgar Markov's Coffin. Then if there are three or more bloodline counters on it, remove those counters and transform it."
"Nyla, Shirshu Sleuth",5.0,B,B,Legendary Creature — Mole Beast,"Card Draw, Creature, Recursion, Removal, Token Generation",Creature,false,"When Nyla enters, exile up to one target creature card from your graveyard. If you do, you lose X life and create X Clue tokens, where X is that card's mana value. (A Clue token is an artifact with ""{2}, Sacrifice this token: Draw a card."") At the beginning of your end step, if you control no Clues, return target card exiled with Nyla to its owner's hand."
"Glacian, Powerstone Engineer",6.0,U,U,Legendary Creature — Human Artificer,Creature,Creature,false,"{T}, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of those cards into your hand and the rest into your graveyard. Partner (You can have two commanders if both have partner.)"
Gas Guzzler,1.0,B,B,Creature — Vampire Rogue,"Card Draw, Creature",Creature,false,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) This creature enters tapped. Max speed — {B}, Sacrifice another creature or Vehicle: Draw a card."
Swamp,0.0,,,Basic Land — Swamp,Land,Land,true,({T}: Add {B}.)
Cut // Ribbons,4.0,B;R,B;R,Sorcery // Sorcery,"Removal, Sorcery",Sorcery,false,Cut deals 4 damage to target creature. // Aftermath (Cast this spell only from your graveyard. Then exile it.) Each opponent loses X life.
Battlewing Mystic,2.0,U,U,Creature — Bird Wizard,"Card Draw, Creature, Discard",Creature,false,"Kicker {R} (You may pay an additional {R} as you cast this spell.) Flying When this creature enters, if it was kicked, discard your hand, then draw two cards."
Sigil of Valor,2.0,,,Artifact — Equipment,Artifact,Artifact,false,"Whenever equipped creature attacks alone, it gets +1/+1 until end of turn for each other creature you control. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Birds of Paradise,1.0,G,G,Creature — Bird,Creature,Creature,false,Flying {T}: Add one mana of any color.
Bronze Horse,7.0,,,Artifact Creature — Horse,"Artifact, Creature, Removal",Creature,false,"Trample As long as you control another creature, prevent all damage that would be dealt to this creature by spells that target it."
Riftmarked Knight,3.0,W,W,Creature — Human Rebel Knight,"Creature, Protection, Token Generation",Creature,false,"Protection from black; flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Suspend 3—{1}{W}{W} When the last time counter is removed from this card while it's exiled, create a 2/2 black Knight creature token with flanking, protection from white, and haste."
Wall of Vipers,3.0,B,B,Creature — Snake Wall,"Creature, Removal, Stax",Creature,false,Defender (This creature can't attack.) {3}: Destroy this creature and target creature it's blocking. Any player may activate this ability.
Admiral Beckett Brass,4.0,B;R;U,B;R;U,Legendary Creature — Human Pirate,"Creature, Removal",Creature,false,"Other Pirates you control get +1/+1. At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn."
Pollywog Prodigy,2.0,U,U,Creature — Frog Wizard,"Card Draw, Creature",Creature,false,"Evolve (Whenever a creature you control enters, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.) Whenever an opponent casts a noncreature spell with mana value less than this creature's power, draw a card."
Aegis of the Gods,2.0,W,W,Enchantment Creature — Human Soldier,"Creature, Enchantment, Protection",Creature,false,You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Jibbirik Omnivore,2.0,G,G,Creature — Beast,Creature,Creature,false,
Graven Lore,5.0,U,U,Snow Instant,"Card Draw, Instant",Instant,false,"Scry X, where X is the amount of {S} spent to cast this spell, then draw three cards. ({S} is mana from a snow source.)"
Hammer of Purphoros,3.0,R,R,Legendary Enchantment Artifact,"Artifact, Enchantment, Token Generation",Artifact,false,"Creatures you control have haste. {2}{R}, {T}, Sacrifice a land: Create a 3/3 colorless Golem enchantment artifact creature token."
Talisman of Hierarchy,2.0,,,Artifact,"Artifact, Ramp",Artifact,false,{T}: Add {C}. {T}: Add {W} or {B}. This artifact deals 1 damage to you.
Ragged Playmate,2.0,R,R,Artifact Creature — Toy,"Artifact, Creature",Creature,false,"{1}, {T}: Target creature with power 2 or less can't be blocked this turn."
Tainted Field,0.0,,,Land,Land,Land,true,{T}: Add {C}. {T}: Add {W} or {B}. Activate only if you control a Swamp.
Think Twice,2.0,U,U,Instant,"Card Draw, Instant",Instant,false,Draw a card. Flashback {2}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
"Garruk, Primal Hunter",5.0,G,G,Legendary Planeswalker — Garruk,"Card Draw, Planeswalker, Token Generation",Planeswalker,false,+1: Create a 3/3 green Beast creature token. −3: Draw cards equal to the greatest power among creatures you control. −6: Create a 6/6 green Wurm creature token for each land you control.
Mulch,2.0,G,G,Sorcery,Sorcery,Sorcery,false,Reveal the top four cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.
Heron of Hope,4.0,W,W,Creature — Bird,"Creature, Life Gain",Creature,false,"Flying If you would gain life, you gain that much life plus 1 instead. {1}{W}: This creature gains lifelink until end of turn."
Earthlink,6.0,B;G;R,B;G;R,Enchantment,Enchantment,Enchantment,false,"At the beginning of your upkeep, sacrifice this enchantment unless you pay {2}. Whenever a creature dies, that creature's controller sacrifices a land of their choice."
Whiptongue Hydra,6.0,G,G,Creature — Lizard Hydra,"Board Wipe, Creature",Creature,false,"Reach When this creature enters, destroy all creatures with flying. Put a +1/+1 counter on this creature for each creature destroyed this way."
Selesnya Guildgate,0.0,,,Land — Gate,Land,Land,true,This land enters tapped. {T}: Add {G} or {W}.
Spike-Tailed Ceratops,5.0,G,G,Creature — Dinosaur,Creature,Creature,false,This creature can block an additional creature each combat.
"Bruna, Light of Alabaster",6.0,U;W,U;W,Legendary Creature — Angel,Creature,Creature,false,"Flying, vigilance Whenever Bruna attacks or blocks, you may attach to it any number of Auras on the battlefield and you may put onto the battlefield attached to it any number of Aura cards that could enchant it from your graveyard and/or hand."
Brotherhood Outcast,3.0,W,W,Creature — Human Soldier,"Creature, Recursion, Removal",Creature,false,"When this creature enters, choose one — • Return target Aura or Equipment card with mana value 3 or less from your graveyard to the battlefield. • Put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)"
Elkin Bottle,3.0,,,Artifact,Artifact,Artifact,false,"{3}, {T}: Exile the top card of your library. Until the beginning of your next upkeep, you may play that card."
Wall of Roots,2.0,G,G,Creature — Plant Wall,"Creature, Ramp",Creature,false,Defender Put a -0/-1 counter on this creature: Add {G}. Activate only once each turn.
Rhox Faithmender,4.0,W,W,Creature — Rhino Monk,"Creature, Life Gain",Creature,false,"Lifelink (Damage dealt by this creature also causes you to gain that much life.) If you would gain life, you gain twice that much life instead."
Pugnacious Hammerskull,3.0,G,G,Creature — Dinosaur,Creature,Creature,false,"Whenever this creature attacks while you don't control another Dinosaur, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
Paleoloth,6.0,G,G,Creature — Beast,"Creature, Recursion",Creature,false,"Whenever another creature you control with power 5 or greater enters, you may return target creature card from your graveyard to your hand."
Titania's Song,4.0,G,G,Enchantment,Enchantment,Enchantment,false,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its mana value. If this enchantment leaves the battlefield, this effect continues until end of turn."
Plated Wurm,5.0,G,G,Creature — Wurm,Creature,Creature,false,
Dire Fleet Daredevil,2.0,R,R,Creature — Human Pirate,"Creature, Removal",Creature,false,"First strike When this creature enters, exile target instant or sorcery card from an opponent's graveyard. You may cast it this turn, and mana of any type can be spent to cast that spell. If that spell would be put into a graveyard, exile it instead."
Leviathan,9.0,U,U,Creature — Leviathan,"Creature, Stax",Creature,false,"Trample This creature enters tapped and doesn't untap during your untap step. At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap this creature. This creature can't attack unless you sacrifice two Islands. (This cost is paid as attackers are declared.)"
Maze Sentinel,6.0,W,W,Creature — Elemental,Creature,Creature,false,Vigilance Multicolored creatures you control have vigilance.
Gruul Turf,0.0,,,Land,Land,Land,true,"This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {R}{G}."
War Historian,3.0,G,G,Creature — Human Monk,"Creature, Protection",Creature,false,Reach This creature has indestructible as long as it attacked a battle this turn.
Plains,0.0,,,Basic Land — Plains,Land,Land,true,({T}: Add {W}.)
Searing Blaze,2.0,R,R,Instant,"Instant, Removal",Instant,false,"Searing Blaze deals 1 damage to target player or planeswalker and 1 damage to target creature that player or that planeswalker's controller controls. Landfall — If you had a land enter the battlefield under your control this turn, Searing Blaze deals 3 damage to that player or planeswalker and 3 damage to that creature instead."
Siren's Call,1.0,U,U,Instant,"Board Wipe, Instant",Instant,false,"Cast this spell only during an opponent's turn, before attackers are declared. Creatures the active player controls attack this turn if able. At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn."
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",3.0,G,G,Legendary Enchantment // Legendary Land,"Enchantment, Ramp",Enchantment,false,"When Growing Rites of Itlimoc enters, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order. At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc. // (Transforms from Growing Rites of Itlimoc.) {T}: Add {G}. {T}: Add {G} for each creature you control."
Air Elemental,5.0,U,U,Creature — Elemental,Creature,Creature,false,Flying
Coralhelm Guide,2.0,U,U,Creature — Merfolk Scout Ally,Creature,Creature,false,{4}{U}: Target creature can't be blocked this turn.
Arcane Sanctum,0.0,,,Land,Land,Land,true,"This land enters tapped. {T}: Add {W}, {U}, or {B}."
Stormscape Battlemage,3.0,U,U,Creature — Metathran Wizard,"Creature, Life Gain, Removal, Stax",Creature,false,"Kicker {W} and/or {2}{B} (You may pay an additional {W} and/or {2}{B} as you cast this spell.) When this creature enters, if it was kicked with its {W} kicker, you gain 3 life. When this creature enters, if it was kicked with its {2}{B} kicker, destroy target nonblack creature. That creature can't be regenerated."
Sulfurous Springs,0.0,,,Land,Land,Land,true,{T}: Add {C}. {T}: Add {B} or {R}. This land deals 1 damage to you.
Tragic Banshee,5.0,B,B,Creature — Spirit,Creature,Creature,false,"Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 until end of turn instead."
Loathsome Curator,5.0,B,B,Creature — Gorgon Wizard,"Creature, Removal",Creature,false,"Exploit (When this creature enters, you may sacrifice a creature.) Menace When this creature exploits a creature, destroy target creature you don't control with mana value 3 or less."
Adventuring Gear,1.0,,,Artifact — Equipment,Artifact,Artifact,false,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Metastatic Evangel,2.0,W,W,Creature — Phyrexian Human Cleric,Creature,Creature,false,"Whenever another nontoken creature you control enters, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Reflecting Pool,0.0,,,Land,Land,Land,true,{T}: Add one mana of any type that a land you control could produce.
Mystical Tutor,1.0,U,U,Instant,"Instant, Tutor",Instant,false,"Search your library for an instant or sorcery card, reveal it, then shuffle and put that card on top."
Essence Warden,1.0,G,G,Creature — Elf Shaman,"Creature, Life Gain",Creature,false,"Whenever another creature enters, you gain 1 life."
Doubling Season,5.0,G,G,Enchantment,"Enchantment, Token Generation",Enchantment,false,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead. If an effect would put one or more counters on a permanent you control, it puts twice that many of those counters on that permanent instead."
Mishra's Factory,0.0,,,Land,Land,Land,true,{T}: Add {C}. {1}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Furious Bellow,2.0,R,R,Instant,Instant,Instant,false,Target creature gets +3/+0 and gains first strike until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
Frantic Search,3.0,U,U,Instant,"Card Draw, Discard, Instant",Instant,false,"Draw two cards, then discard two cards. Untap up to three lands."
Blood Operative,3.0,B,B,Creature — Vampire Assassin,"Creature, Removal",Creature,false,"Lifelink When this creature enters, you may exile target card from a graveyard. Whenever you surveil, if this card is in your graveyard, you may pay 3 life. If you do, return this card to your hand."
Akroan Conscriptor,5.0,R,R,Creature — Human Shaman,Creature,Creature,false,"Heroic — Whenever you cast a spell that targets this creature, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn."
Soul Snare,1.0,W,W,Enchantment,"Enchantment, Removal",Enchantment,false,"{W}, Sacrifice this enchantment: Exile target creature that's attacking you or a planeswalker you control."
Sizzling Changeling,3.0,R,R,Creature — Shapeshifter,Creature,Creature,false,"Changeling (This card is every creature type.) When this creature dies, exile the top card of your library. Until the end of your next turn, you may play that card."
Single Combat,5.0,W,W,Sorcery,"Sorcery, Stax",Sorcery,false,"Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn."
Gravelgill Axeshark,5.0,B;U,B;U,Creature — Merfolk Soldier,Creature,Creature,false,"Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)"
Cultivate,3.0,G,G,Sorcery,"Sorcery, Tutor",Sorcery,false,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
Heron's Grace Champion,4.0,G;W,G;W,Creature — Human Knight,"Creature, Life Gain",Creature,false,"Flash Lifelink When this creature enters, other Humans you control get +1/+1 and gain lifelink until end of turn."
Starlit Mantle,2.0,U,U,Enchantment — Aura,"Enchantment, Protection, Stax",Enchantment,false,"Flash (You may cast this spell any time you could cast an instant.) Enchant creature you control When this Aura enters, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.) Enchanted creature gets +1/+1."
Vedalken Mastermind,2.0,U,U,Creature — Vedalken Wizard,Creature,Creature,false,"{U}, {T}: Return target permanent you control to its owner's hand."
Storm Fleet Swashbuckler,2.0,R,R,Creature — Human Pirate,Creature,Creature,false,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.) This creature has double strike as long as you have the city's blessing."
Selvala's Enforcer,4.0,G,G,Creature — Elf Warrior,"Card Draw, Creature",Creature,false,"Parley — When this creature enters, each player reveals the top card of their library. For each nonland card revealed this way, put a +1/+1 counter on this creature. Then each player draws a card."
Drag to the Roots,4.0,B;G,B;G,Instant,"Instant, Removal",Instant,false,Delirium — This spell costs {2} less to cast as long as there are four or more card types among cards in your graveyard. Destroy target nonland permanent.
Coalstoke Gearhulk,5.0,B;R,B;R,Artifact Creature — Construct,"Artifact, Creature, Removal",Creature,false,"Menace, deathtouch When this creature enters, put target creature card with mana value 4 or less from a graveyard onto the battlefield under your control with a finality counter on it. That creature gains menace, deathtouch, and haste. At the beginning of your next end step, exile that creature."
Shared Summons,5.0,G,G,Instant,"Instant, Tutor",Instant,false,"Search your library for up to two creature cards with different names, reveal them, put them into your hand, then shuffle."
Saproling Symbiosis,4.0,G,G,Sorcery,"Sorcery, Token Generation",Sorcery,false,You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.) Create a 1/1 green Saproling creature token for each creature you control.
"Zara, Renegade Recruiter",5.0,R;U,R;U,Legendary Creature — Human Pirate,Creature,Creature,false,"Flying Whenever Zara attacks, look at defending player's hand. You may put a creature card from it onto the battlefield under your control tapped and attacking that player or a planeswalker they control. Return that creature to its owner's hand at the beginning of the next end step."
Cinder Glade,0.0,,,Land — Mountain Forest,Land,Land,true,({T}: Add {R} or {G}.) This land enters tapped unless you control two or more basic lands.
Erdwal Illuminator,2.0,U,U,Creature — Spirit,"Card Draw, Creature",Creature,false,"Flying Whenever you investigate for the first time each turn, investigate an additional time."
Mountain,0.0,,,Basic Land — Mountain,Land,Land,true,({T}: Add {R}.)
Jeskai Charm,3.0,R;U;W,R;U;W,Instant,"Instant, Life Gain, Removal",Instant,false,Choose one — • Put target creature on top of its owner's library. • Jeskai Charm deals 4 damage to target opponent or planeswalker. • Creatures you control get +1/+1 and gain lifelink until end of turn.
Fresh Meat,4.0,G,G,Instant,"Instant, Token Generation",Instant,false,Create a 3/3 green Beast creature token for each creature put into your graveyard from the battlefield this turn.
Soul Feast,5.0,B,B,Sorcery,"Life Gain, Sorcery",Sorcery,false,Target player loses 4 life and you gain 4 life.
Sage's Row Denizen,3.0,U,U,Creature — Vedalken Wizard,Creature,Creature,false,"Whenever another blue creature you control enters, target player mills two cards."
Bandage,1.0,W,W,Instant,"Card Draw, Instant, Removal",Instant,false,Prevent the next 1 damage that would be dealt to any target this turn. Draw a card.
Smallpox,2.0,B,B,Sorcery,"Discard, Sorcery",Sorcery,false,"Each player loses 1 life, discards a card, sacrifices a creature of their choice, then sacrifices a land of their choice."
Kithkin Greatheart,2.0,W,W,Creature — Kithkin Soldier,Creature,Creature,false,"As long as you control a Giant, this creature gets +1/+1 and has first strike."
Orzhov Guildgate,0.0,,,Land — Gate,Land,Land,true,This land enters tapped. {T}: Add {W} or {B}.
Ichthyomorphosis,3.0,U,U,Enchantment — Aura,Enchantment,Enchantment,false,Enchant creature Enchanted creature loses all abilities and is a blue Fish with base power and toughness 0/1.
Mortify,3.0,B;W,B;W,Instant,"Instant, Removal",Instant,false,Destroy target creature or enchantment.
"Narset, Parter of Veils",3.0,U,U,Legendary Planeswalker — Narset,"Card Draw, Planeswalker",Planeswalker,false,"Each opponent can't draw more than one card each turn. −2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Structural Distortion,4.0,R,R,Sorcery,"Removal, Sorcery",Sorcery,false,Exile target artifact or land. Structural Distortion deals 2 damage to that permanent's controller.
Paradise Druid,2.0,G,G,Creature — Elf Druid,"Creature, Protection",Creature,false,This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.) {T}: Add one mana of any color.
Run Away Together,2.0,U,U,Instant,Instant,Instant,false,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.
Borderland Minotaur,4.0,R,R,Creature — Minotaur Warrior,Creature,Creature,false,
Phyrexian Ingester,7.0,U,U,Creature — Phyrexian Beast,"Creature, Removal",Creature,false,"Imprint — When this creature enters, you may exile target nontoken creature. This creature gets +X/+Y, where X is the exiled creature card's power and Y is its toughness."
"Sivitri, Dragon Master",4.0,B;U,B;U,Legendary Planeswalker — Sivitri,"Board Wipe, Planeswalker, Stax, Tutor",Planeswalker,false,"+1: Until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays 2 life for each of those creatures. −3: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle. −7: Destroy all non-Dragon creatures. Sivitri, Dragon Master can be your commander."
Sinew Sliver,2.0,W,W,Creature — Sliver,Creature,Creature,false,All Sliver creatures get +1/+1.
Charge,1.0,W,W,Instant,Instant,Instant,false,Creatures you control get +1/+1 until end of turn.
Island,0.0,,,Basic Land — Island,Land,Land,true,({T}: Add {U}.)
Jade Guardian,4.0,G,G,Creature — Merfolk Shaman,"Creature, Protection",Creature,false,"Hexproof (This creature can't be the target of spells or abilities your opponents control.) When this creature enters, put a +1/+1 counter on target Merfolk you control."
"Kambal, Consul of Allocation",3.0,B;W,B;W,Legendary Creature — Human Advisor,"Creature, Life Gain",Creature,false,"Whenever an opponent casts a noncreature spell, that player loses 2 life and you gain 2 life."
Spinewoods Paladin,5.0,G,G,Creature — Human Knight,"Creature, Life Gain",Creature,false,"Trample When this creature enters, you gain 3 life. Plot {3}{G} (You may pay {3}{G} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)"
"Tezzeret, Master of Metal",6.0,B;U,B;U,Legendary Planeswalker — Tezzeret,"Life Gain, Planeswalker",Planeswalker,false,+1: Reveal cards from the top of your library until you reveal an artifact card. Put that card into your hand and the rest on the bottom of your library in a random order. −3: Target opponent loses life equal to the number of artifacts you control. −8: Gain control of all artifacts and creatures target opponent controls.
Brambleback Brute,3.0,R,R,Creature — Giant Warrior,"Creature, Stax",Creature,false,"This creature enters with two -1/-1 counters on it. {1}{R}, Remove a counter from this creature: Target creature can't block this turn. Activate only as a sorcery."
On the Job,4.0,W,W,Instant,"Card Draw, Instant, Token Generation",Instant,false,"Creatures you control get +2/+1 until end of turn. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
Jolted Awake,1.0,W,W,Sorcery,"Card Draw, Discard, Sorcery",Sorcery,false,"Choose up to one target artifact or creature card in your graveyard. You get {E}{E} (two energy counters). Then you may pay an amount of {E} equal to that card's mana value. If you do, return it from your graveyard to the battlefield. Cycling {2} ({2}, Discard this card: Draw a card.)"
Novice Knight,1.0,W,W,Creature — Human Knight,"Creature, Stax",Creature,false,"Defender (This creature can't attack.) As long as this creature is enchanted or equipped, it can attack as though it didn't have defender."
Dungeon Crawler,1.0,B,B,Creature — Zombie,Creature,Creature,false,"This creature enters tapped. Whenever you complete a dungeon, you may return this card from your graveyard to your hand."
Archaeomancer's Map,3.0,W,W,Artifact,"Artifact, Tutor",Artifact,false,"When this artifact enters, search your library for up to two basic Plains cards, reveal them, put them into your hand, then shuffle. Whenever a land an opponent controls enters, if that player controls more lands than you, you may put a land card from your hand onto the battlefield."
Fallen Askari,2.0,B,B,Creature — Human Knight,Creature,Creature,false,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) This creature can't block."
Triplicate Spirits,6.0,W,W,Sorcery,"Sorcery, Token Generation",Sorcery,false,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Create three 1/1 white Spirit creature tokens with flying.
Altar's Reap,2.0,B,B,Instant,"Card Draw, Instant",Instant,false,"As an additional cost to cast this spell, sacrifice a creature. Draw two cards."
